Date,Name,Year,Letterboxd URI
2024-01-04,Asteroid City,2023,https://boxd.it/s3ds
2024-01-04,Blade Runner 2049,2017,https://boxd.it/b8wK
2024-01-04,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2024-01-04,Joker,2019,https://boxd.it/h4cS
2024-01-04,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2024-01-04,Tenet,2020,https://boxd.it/leq4
2024-01-04,The Batman,2022,https://boxd.it/eDGs
2024-01-04,The Dark Knight,2008,https://boxd.it/2b0k
2024-01-04,The French Dispatch,2021,https://boxd.it/jLP8
2024-01-04,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2024-01-04,Whiplash,2014,https://boxd.it/7bQA
2024-01-04,The Shining,1980,https://boxd.it/29Nu
2024-01-07,Nightcrawler,2014,https://boxd.it/780m
2024-01-07,Happy Gilmore,1996,https://boxd.it/1Yey
2024-01-13,La La Land,2016,https://boxd.it/a5fa
2024-02-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-03-04,Interstellar,2014,https://boxd.it/4VZ8
