Date,Name,Year,Letterboxd URI
2024-01-07,Parasite,2019,https://boxd.it/hTha
2024-01-07,Fight Club,1999,https://boxd.it/2a9q
2024-01-07,Inception,2010,https://boxd.it/1skk
2024-01-07,Spirited Away,2001,https://boxd.it/2b4m
2024-01-07,Black Swan,2010,https://boxd.it/Sw0
2024-01-07,Taxi Driver,1976,https://boxd.it/2b8y
2024-01-07,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-01-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-01-07,No Country for Old Men,2007,https://boxd.it/21ew
2024-01-07,The Boy and the Heron,2023,https://boxd.it/ipeM
2024-01-07,Rocky,1976,https://boxd.it/28Uk
2024-02-17,Requiem for a Dream,2000,https://boxd.it/29VI
2024-02-17,Pulp Fiction,1994,https://boxd.it/29Pq
2024-02-19,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-02-19,Drive,2011,https://boxd.it/IG
2024-02-19,Howl's Moving Castle,2004,https://boxd.it/23De
2024-02-19,My Neighbor Totoro,1988,https://boxd.it/20eA
2024-02-19,Rushmore,1998,https://boxd.it/1TAO
2024-02-26,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2024-02-27,Lost in Translation,2003,https://boxd.it/2b0E
2024-02-27,Sound of Metal,2019,https://boxd.it/i7Q4
